"code";"text";"pt3";"pos"
"7851";"TIDUR /VÄRMARE";"Timer / Heater Switches";""
"7852";"DIESELVÄRMARE";"Diesel warmers";""
"7853";"MOTORVÄRMARE EL/SATS KOMP";"Engine heater El / Complete set";""
"7854";"MOTORVÄRMARSLADD";"Engine heater cord";""
"7855";"KUPEVÄRMARSLADD";"Coupe heater";""
"7856";"MOTORVÄRMARE GRENKONTAKT";"Engine heater Power outlet";""
"7857";"MOTORVÄRMARE / VÄRMEKROPP";"Engine pre-heater";""
"7858";"AVGASSPJÄLL";"Avgasspjäll";""
"7859";"VÄRMEKAMMARE/VÄXLARE";"Heat chamber / Exchanger";""
"7860";"KATALYSATOR";"Catalyst";""
"7861";"AVGAS/LJUDDÄMPARE/RÖR";"Exhaust / Silencer / Pipe";""
"7862";"AVGASSYSTEM / KOMPL. EJ KAT.";"Exhaust system Compl.";""
"7863";"AVGASRÖR FRÄMRE/MITT/BAK";"Exhaust pipe";""
"7864";"AVGASSYSTEM ÖVRIGT";"Exhaust system Other";""
"7865";"AVGAS. FÖRVÄRMNINGSPLÅT";"Pre heating plate";""
"7866";"SENSOR AVGAS";"Sensor exhaust";""
"7867";"AVGAS HALVSATS";"Exhaust Semi-Set";""
"7868";"AVGAS PARTIKELFILTER";"Exhaust particulate filter";""
"7869";"INSYNSSKYDD RULLGARDIN";"Concealing Panel";""
"7870";"OLJESTICKA";"Dipstick";""
"7871";"SPÄNNINGSOMVANDLARE BATTERI";"Spänningsomvandlare Batteri";""
"7872";"BRÄNSLEPUMP BENSIN/DIESELVÄRMARE";"Bränslepump Bensin/Dieselvärmare";""
"7873";"BATTERIVÄRMARE";"Batterivärmare";""
"7874";"BATTERIKYLMODUL";"Batterikylmodul";""
"7875";"BATTERI HÖGSPÄNNING MODUL/CELL";"Högspänning Modul/Cell";""
"7876";"LADDLUCKA";"Laddlucka";""
"7877";"HÖGSPÄNNINGSBATTERI SÄKRING";"Hybridbatteri Säkring";""
"7879";"BAKGAVELLYFT/RULLSTOLSRAMP";"Rear lifting fork";""
"8001";"KYLARE MAN";"Manual coolers";""
"8002";"KYLARE AUT";"Automatic coolers";""
"8003";"KYLARFÄSTE/RAM/BALK";"Cooler anchorage / Frame / Beam";""
"8005";"EXPANSIONSTANK";"Expansion tank";""
"8006";"EXPANSIONSTANK LOCK";"Expansion tank cap";""
"8007";"AC SLANG/RÖR";"AC Tube";""
"8008";"AC STYRENHET/MANÖVERENHET";"AC Control unit / Maneuver unit";""
"8009";"AC KONDENSOR/KYLARE";"AC Condenser";""
"8010";"KYLFLÄKT EL";"Electric cooling fan";""
"8011";"GIVARE KYLFLÄKT";"Cooling fan transmitters";""
"8012";"KYLFLÄKT FÄSTE/LAGER";"Cooling fan bracket/bearing";""
"8013";"KYLARSLANG FÖRDELNINGSRÖR";"Radiator hose distrubution line";""
"8014";"KYLARSLANG";"Cooler tube";""
"8015";"KYLFLÄKT/VINGE";"Cooling fan / Wing";""
"8016";"KYLFLÄKT/SLIRKOPPLING";"Cooling fan / Slip clutch";""
"8017";"AC KYLFLÄKT";"AC Cooling fan";""
"8018";"AC REGLERMOTOR";"AC Regulator motor";""
"8019";"AC VÄRMEFLÄKT";"AC Heating Fan";""
"8020";"VÄRMEFLÄKT";"Heating fan";""
"8021";"DEFROSTERSLANG";"Defroster hose";""
"8022";"DEFROSTERKANAL/MUNSTYCKE";"Defrosting channel / Nozzle";""
"8023";"VÄRMEFLÄKTSMOTSTÅND";"Heating fan resistor";""
"8024";"VÄRME REGLERMOTOR";"Heater regulator engine";""
"8025";"VÄRMEVENTIL";"Heating valve";""
"8026";"VÄRME CIRKULATIONSPUMP";"Circulation pump";""
"8027";"VÄRMEPAKET EXTRA";"Heating package extra";""
"8028";"VÄRME CELLPAKET ELEKTRISKT";"Värme Cellpaket Elektriskt";""
"8029";"VÄRME CELLPAKET KOMP.";"Cell package Complete";""
"8030";"VÄRME CELLPAKET VATTEN";"Cell package ";""
"8031";"AC CELLPAKET/FÖRÅNGARE";"AC Cell package / Vaporizer";""
"8032";"AC TORKFILTER";"AC Wiper filter";""
"8033";"AC FÖRÅNGARE";"AC Vaporizer";""
"8034";"AC ÖVRIGT";"AC Other ";""
"8035";"AC ANLÄGGNING / KOMPLETT";"AC Construction complete";""
