"code";"SV";"DE";"pos"
"1265";"RP DÖRRSPEGEL 4D FRAM VÄ";"RP Dörrspegel 4D";"Vorn Links"
"1266";"RP DÖRRSPEGEL 4D FRAM HÖ";"RP Dörrspegel 4D";"Vorn Recht"
"1267";"RP DÖRRSPEGEL 4D BAK VÄ";"RP Dörrspegel 4D";"Hinten Links"
"1268";"RP DÖRRSPEGEL 4D BAK HÖ";"RP Dörrspegel 4D";"Hinten Recht"
"1299";"RP ÖVRIGT";"RP Övrigt";""
"1710";"FÄRDSKRIVARE";"Färdskrivare";""
"2000";"LUFTFILTER";"Luftfilter";""
"2001";"BRÄNSLEFILTER";"Bränslefilter";""
"2002";"OLJEFILTER";"Oelfilter";""
"2003";"OLJA MOTOR";"Oel Motor";""
"2004";"OLJA VÄXELLÅDA MAN";"Oel Getriebe manuell";""
"2005";"OLJA AUTOMAT";"Oel Automat";""
"2006";"BROMSVÄTSKA";"Oel Brems";""
"2007";"OLJA FÖRGASARE";"Oel Vergaser";""
"2008";"OLJA BAKAXEL";"Olja Bakaxel";""
"2009";"OLJA VINKELVÄXEL/FÖRDELNINGSLÅDA";"Olja Vinkelväxel/Fördelningslåda";""
"2010";"OLJA STYRSERVO";"Olja Styrservo";""
"2011";"SPOLARTANK LOCK";"Spolartank Lock";""
"2012";"KYLVÄTSKEFILTER";"Kylvätskefilter";""
"2014";"AVFETTNINGSMEDEL";"Avfettningsmedel";""
"2015";"FROSTSKYDD";"Frostschutz";""
"2016";"KYLARVÄTSKA";"Kylarvätska";""
"2017";"GLYKOL";"Glykol";""
"2018";"SPOLARVÄTSKA";"Spolarvätska";""
"2019";"MONTERINGSSATS";"Monteringssats";""
"2020";"URTRAMPNINGSLAGER";"Urtrampningslager";""
"2021";"SVÄNGHJULSLAGER";"Svänghjulslager";""
"2022";"HJULLAGER/SATS";"Hjullager, Sats";""
"2023";"KAMAXEL POSITIONSGIVARE";"Kamaxel Positionsgivare";""
"2024";"KAMAXELDRIVNING KUGGDREV AVGAS";"Kamaxeldrivning Kuggdrev Avgas";""
"2025";"KAMAXELDRIVNING KUGGDREV INSUG";"Kamaxeldrivning Kuggdrev Insug";""
"2026";"KAMAXELDRIVNING KUGGDREV VEVAXEL";"Kamaxeldrivning Kuggdrev Vevaxel";""
"2027";"KAMAXELDRIVNING KUGGDREV ÖVRIGA";"Kamaxeldrivning Kuggdrev Övriga";""
"2028";"KAMAXEL VVT ENHET (VANOS)";"Kamaxel VVT-Enhet (Vanos)";""
"2029";"KAMDREVSATS";"Kamdrevsats";""
"2030";"KAMAXELREM";"Kamaxelrem";""
"2031";"KAMAXELKEDJA";"Kette der Nockenwelle";""
"2039";"KNUTKORS";"Knutkors";""
"2040";"BROMSBELÄGG FRAM";"Bromsbelägg";"Vorn"
"2041";"BROMSBELÄGG BAK";"Bromsbelägg";"Hinten"
"2050";"AVGAS BAKRE DÄMPARE";"Abgas Hintere Dämpfer";"Hinten"
"2051";"AVGAS MELLANDÄMPARE";"Abgas Zwichendämpfer";""
"2052";"AVGAS FRÄMRE RÖR";"Abgasrohr";"Vorn"
"2053";"AVGAS MONTERINGSDETALJER";"Abgas Montierdetails";""
"2054";"AVGAS MELLANRÖR";"Abgas Zwichenrohr";""
"2055";"AVGAS ÄNDRÖR";"Abgas Endrohr";""
"2060";"PACKNINGSSATS";"Dichtungssatz";""
"2061";"SOTNINGSSATS";"Sotningssats";""
"2064";"PACKNING AVGASGRENRÖR";"Insug, Avgaspackning";""
"2065";"PACKNING INSUGNINGSRÖR";"Insugningsrörspackning";""
"2066";"PACKNING AVGASRÖR";"Abgasrohr Dichtung";""
"2067";"PACKNING VENTILKÅPA";"Ventilkappe Dichtung";""
"2069";"PACKNING OLJETRÅG";"Oelwanne Dichtung";""
"2070";"KOLVRINGSATS";"Kolvringsats";""
"2071";"PACKBOX";"Packbox";""
"2072";"AVGASVENTIL";"Abgasventil";""
