"1090";"AJOVALON KIINN.KEHYS"
"1091";"LISÄVALO TELINE/KAARI"
"1092";"LAMPUNPIDIN MUUT"
"1093";"AJOVALON POLTTIMO XENON"
"1094";"KAIUTIN MOOTTORIÄÄNI SÄHKÖAUTO"
"1095";"KORIN ETUOSA SIS. RINTAP."
"1096";"KORIN ETUOSA + KATTO"
"1097";"PUSKURIN KIINNIKEET ETU VASEN"
"1098";"PUSKURIN KIINNIKEET ETU OIKEA"
"1099";"KORIN ETUOSA MUUT"
"1100";"LISTA ETU/ETUKANSI/ETUPÄÄ"
"1101";"LISTA VASEN"
"1102";"LISTA OIKEA"
"1103";"LISTA TAKA/TAKAKANSI"
"1105";"LISTA ETU LOKASUOJA VASEN"
"1106";"LISTA ETU LOKASUOJA OIKEA"
"1107";"OVI KORISTELISTA ETU VASEN"
"1108";"OVI KORISTELISTA ETU OIKEA"
"1109";"OVI KORISTELISTA TAKA VASEN"
"1110";"OVI KORISTELISTA TAKA OIKEA"
"1120";"ILMANOHJAUS ETU"
"1130";"PEITEMUOVI ETU"
"1201";"KORJ.PELTI KYNNYS ULKOPUOL.V"
"1202";"KORJ.PELTI KYNNYS ULKOPUOL. O"
"1203";"KORJ.PELTI KYNNYS SISÄPUOL. V"
"1204";"KORJ.PELTI KYNNYS SISÄPUOL. O"
"1211";"KORJAUSPELTI OVI 2D VASEN"
"1212";"KORJAUSPELTI OVI 2D OIKEA"
"1213";"KORJAUSPELTI OVI ETU VASEN"
"1214";"KORJAUSPELTI OVI ETU OIKEA"
"1215";"KORJAUSPELTI OVI TAKA VASEN"
"1216";"KORJAUSPELTI OVI TAKA OIKEA"
"1231";"KORJ.PELTI ETULOK. KIINNIKE V"
"1232";"KORJ.PELTI ETULOK. KIINNIKE O"
"1241";"KORJ.PELTI LOK. REUNA TAKA 2D V"
"1242";"KORJ.PELTI LOK. REUNA TAKA 2D O"
"1243";"KORJ.PELTI LOK.REUNA TAK.SIS. V"
"1244";"KORJ.PELTI LOK.REUNA TAK.SIS. O"
"1245";"KORJ.PELTI LOK. REUNA TAKA 4D V"
"1246";"KORJ.PELTI LOK. REUNA TAKA 4D O"
"1251";"KORJ.PELTI TAKAP.KOT. ETU VAS."
"1252";"KORJ.PELTI TAKAP.KOT. ETU OIK"
"1253";"KORJ.PELTI TAKAP.KOT. TAKA V"
"1254";"KORJ.PELTI TAKAP.KOT. TAKA O"
"1261";"KORJ.PELTI VARAPYÖRÄKOTELO VAS"
"1262";"KORJ.PELTI VARAPYÖRÄKOTELO OIK"
"1263";"KORJAUSPELTI OVIPELTI 2D VASEN"
"1264";"KORJAUSPELTI OVIPELTI 2D OIKEA"
"1265";"KORJ.PELTI OVIPELTI 4D ETU VAS"
"1266";"KORJ.PELTI OVIPELTI 4D ETU OIK"
"1267";"KORJ.PELTI OVIPELTI 4D TAKA"
"1268";"KORJ.PELTI OVIPELTI 4D TAKA OIKEA"
"1299";"KORJAUSPELTI MUUT"
"1710";"AJOPIIRTURI"
"2000";"ILMANSUODATIN"
"2001";"POLTTOAINESUODATIN"
"2002";"ÖLJYSUODATIN"
"2003";"MOOTTORIÖLJY"
"2004";"VAIHTEISTOÖLJY MANUAALIVAIHT."
"2005";"VAIHTEISTOÖLJY AUTOMAATTIVAIHT"
"2006";"JARRUNESTE"
"2007";"KAASUTINÖLJY"
"2008";"ÖLJY TAKA-AKSELISTON ÖLJY"
"2009";"ÖLJY JAKO LAATIKON"
"2010";"OHJAUSTEHOSTIN ÖLJY"
"2011";"PESIMEN SÄILIÖN KORKKI"
"2012";"JÄÄHDYTYSNESTE SUODATIN"
"2014";"LIUOTINAINE"
"2015";"ETUSUOJUS"
"2016";"JÄÄHDYTYSNESTE"
"2017";"GLYKOLI"
"2018";"PESUNESTE"
"2019";"ASENNUSSARJA"
"2020";"KYTKIMEN PAINELAAKERI"
"2021";"VAUHTIPYÖRÄN LAAKERI"
"2022";"PYÖRÄLAAKERI/SARJA"
"2029";"JAKOPÄÄN KETJU SARJA"
"2030";"JAKOPÄÄN HIHNA"
"2031";"JAKOPÄÄN KETJU"
"2039";"RISTINIVEL"
"2040";"JARRUPALA ETU"
"2041";"JARRUPALA TAKA"
"2050";"PAKOPUTKI ÄÄNENVAIM. TAKA"
